,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,3176,90.0,52.535,13.41758,4,1.0,1.0,t,145,93.0,1.17
1,9991,180.0,52.533030000000004,13.41605,7,2.5,4.0,f,7,100.0,0.14
2,14325,70.0,52.54785,13.405560000000001,1,1.0,0.0,t,24,93.0,0.22
3,16644,90.0,52.50479,13.4351,5,1.0,1.0,t,48,94.0,0.43
4,17904,49.0,52.49548000000001,13.42182,2,1.0,,f,244,96.0,2.11
5,21869,70.0,52.50273000000001,13.43462,4,1.0,1.0,t,60,95.0,0.55
6,22415,98.0,52.49485,13.4285,4,1.0,2.0,t,74,94.0,0.66
7,22677,160.0,52.53435,13.405579999999999,5,1.0,1.0,t,265,95.0,2.46
8,24569,90.0,52.53079,13.418079999999998,4,2.5,2.0,t,18,94.0,0.17
9,25653,90.0,52.53026,13.41947,4,2.5,2.0,t,5,100.0,0.05
10,26543,209.0,52.544059999999995,13.42138,8,2.0,2.0,t,177,92.0,1.62
11,28156,70.0,52.54671999999999,13.405120000000002,1,1.0,0.0,t,30,92.0,0.28
12,29279,65.0,52.54179,13.423879999999999,4,1.0,2.0,f,73,96.0,0.68
13,30295,100.0,52.54597,13.422360000000001,8,1.0,2.0,t,271,95.0,2.5
14,33043,62.0,52.52141999999999,13.357079999999998,4,1.0,1.0,t,178,90.0,1.63
15,37052,58.0,52.538219999999995,13.40463,2,1.0,1.0,t,345,95.0,3.13
16,38074,80.0,52.5368,13.42547,2,1.0,1.0,t,103,89.0,0.95
17,38296,80.0,52.485859999999995,13.423620000000001,2,1.0,1.0,t,6,87.0,0.05
18,42809,119.0,52.511759999999995,13.45536,4,1.0,2.0,t,136,98.0,1.31
19,43123,98.0,52.53946,13.408829999999998,4,1.0,1.0,f,73,96.0,0.68
20,47938,169.0,52.53219,13.41988,6,2.0,2.0,t,39,100.0,0.36
21,48955,70.0,52.536269999999995,13.420810000000001,2,1.0,1.0,t,1,,1.0
22,52570,69.0,52.50031,13.44121,4,,2.0,t,63,96.0,0.59
23,52734,88.0,52.51121,13.457279999999999,2,1.0,1.0,t,5,100.0,0.06
24,55853,55.0,52.5034,13.292029999999999,2,1.0,1.0,t,12,95.0,0.15
25,56960,48.0,52.5317,13.43256,2,1.0,1.0,f,54,96.0,0.79
26,57049,220.0,52.547869999999996,13.40417,4,2.0,2.0,t,90,98.0,0.85
27,57209,80.0,52.53683,13.398970000000002,5,1.0,2.0,t,192,92.0,1.83
28,58780,130.0,52.5342,13.42671,4,1.5,2.0,t,39,96.0,0.4
29,59249,98.0,52.540890000000005,13.40945,4,1.0,1.0,t,93,98.0,0.95
30,63468,52.0,52.5036,13.43206,2,1.0,1.0,f,118,84.0,1.38
31,64014,140.0,52.539069999999995,13.4036,4,2.0,2.0,t,10,90.0,0.1
32,64590,118.0,52.494969999999995,13.42399,4,1.0,2.0,t,39,99.0,0.41
33,68448,84.0,52.5498,13.41596,4,1.0,0.0,t,262,90.0,2.63
34,72079,80.0,52.5078,13.318710000000001,2,1.0,1.0,t,50,96.0,0.65
35,73302,69.0,52.50105,13.350320000000002,2,1.0,1.0,t,241,96.0,2.34
36,74614,185.0,52.5377,13.408539999999999,6,1.0,3.0,f,63,81.0,0.73
37,81049,155.0,52.521840000000005,13.390670000000002,5,1.0,2.0,t,41,99.0,0.41
38,81081,66.0,52.54968,13.41528,2,1.0,1.0,t,272,98.0,2.69
39,82893,75.0,52.532,13.38285,2,1.0,1.0,t,92,92.0,0.93
40,83183,53.0,52.53677,13.424470000000001,2,1.0,1.0,t,249,94.0,2.55
41,83568,99.0,52.54485,13.41891,3,2.0,1.0,t,14,99.0,1.32
42,83614,160.0,52.54622,13.417860000000001,5,1.5,2.0,t,281,96.0,2.76
43,89102,114.0,52.540530000000004,13.40995,4,1.0,1.0,t,59,97.0,0.59
44,91290,60.0,52.49004,13.42619,3,1.0,1.0,t,44,99.0,0.44
45,102882,506.0,52.488780000000006,13.42196,14,2.0,5.0,t,112,94.0,1.13
46,103644,45.0,52.49855,13.302729999999999,2,1.0,1.0,t,32,95.0,0.32
47,106331,82.0,52.5337,13.4367,3,1.0,1.0,t,93,95.0,0.93
48,114763,135.0,52.48805,13.35325,6,1.0,3.0,t,72,99.0,0.89
49,116832,70.0,52.49094,13.396189999999999,3,1.0,2.0,t,3,100.0,0.05
50,117649,68.0,52.500040000000006,13.44265,4,1.0,1.0,t,84,94.0,0.84
51,127708,89.0,52.51965,13.41099,2,1.0,1.0,t,497,96.0,5.26
52,128827,59.0,52.50948,13.46119,3,1.0,1.0,t,18,98.0,0.34
53,135097,119.0,52.500890000000005,13.34692,6,1.0,3.0,t,211,87.0,2.15
54,138955,75.0,52.49097,13.37691,4,,2.0,t,191,95.0,1.93
55,143605,55.0,52.476780000000005,13.424370000000001,4,1.0,1.0,t,57,91.0,0.59
56,147339,50.0,52.48174,13.359470000000002,2,1.0,1.0,t,170,98.0,1.75
57,151249,81.0,52.49678,13.416789999999999,4,1.0,1.0,t,17,87.0,0.36
58,155048,100.0,52.54251,13.43719,2,1.0,2.0,t,4,95.0,0.04
59,156010,36.0,52.51554,13.424470000000001,3,1.0,1.0,t,96,94.0,0.97
60,157546,88.0,52.49545,13.424489999999999,4,1.0,2.0,t,53,93.0,0.56
61,158890,100.0,52.499030000000005,13.436539999999999,2,1.0,1.0,t,3,100.0,0.06
62,159454,161.0,52.47831,13.3114,6,1.0,2.0,t,68,98.0,0.8
63,163287,39.0,52.49179,13.39727,2,1.0,1.0,t,71,96.0,0.73
64,163411,90.0,52.49738000000001,13.436370000000002,4,1.0,2.0,t,31,94.0,0.33
65,168615,49.0,52.58055,13.44539,3,1.0,1.0,t,7,100.0,0.08
66,171746,70.0,52.544109999999996,13.4141,2,1.0,1.0,t,109,94.0,1.88
67,171755,63.0,52.49176,13.3926,2,1.0,1.0,t,9,100.0,0.1
68,173153,80.0,52.53055,13.407020000000001,5,2.0,2.0,t,33,96.0,0.34
69,174547,96.0,52.511,13.41595,3,1.0,2.0,t,31,94.0,0.33
70,174560,75.0,52.51073,13.417910000000001,3,1.0,2.0,t,56,94.0,0.64
71,174576,96.0,52.5094,13.416229999999999,5,1.0,2.0,t,41,93.0,0.45
72,174579,76.0,52.50905,13.415560000000001,3,1.0,2.0,t,81,93.0,0.88
73,175667,46.0,52.49138000000001,13.34331,2,1.0,1.0,t,8,89.0,0.08
74,176342,306.0,52.50363,13.39201,6,2.0,3.0,t,32,95.0,0.47
75,176355,264.0,52.50148000000001,13.391110000000001,6,2.0,2.0,t,20,84.0,0.21
76,176852,50.0,52.493,13.44089,2,1.0,1.0,t,1,80.0,0.02
77,177486,59.0,52.47894,13.327160000000001,3,1.0,1.0,t,51,93.0,0.57
78,178347,75.0,52.48865,13.42896,3,1.0,1.0,t,71,97.0,0.75
79,179102,170.0,52.56868000000001,13.39969,12,1.5,3.0,t,131,96.0,1.41
80,180440,39.0,52.50065,13.301620000000002,1,1.0,1.0,t,21,96.0,0.24
81,181810,39.0,52.48746,13.391470000000002,2,1.0,1.0,t,6,100.0,0.06
