,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,1742654,200.0,40.76708,-73.986,2,1.0,1.0,t,114,99.0,1.87
1,23502842,159.0,40.72205,-73.98132,2,1.0,0.0,f,8,94.0,0.66
2,15984984,180.0,40.682520000000004,-73.96436,2,1.0,1.0,t,36,97.0,1.24
3,13820083,99.0,40.68421,-73.96631,2,1.0,1.0,t,9,85.0,0.27
4,6170979,100.0,40.68678,-73.96044,4,1.0,1.0,t,122,90.0,2.63
5,30712669,200.0,40.7256,-73.98478,3,1.0,0.0,f,9,96.0,2.13
6,33014,195.0,40.72354,-73.98295,3,1.0,2.0,t,28,87.0,0.27
7,29705049,79.0,40.68615,-73.9356,3,1.0,0.0,t,1,100.0,0.17
8,15188621,125.0,40.67948,-73.96526,2,1.0,1.0,t,10,100.0,0.33
9,150804,250.0,40.720079999999996,-73.98404000000001,4,1.0,3.0,t,16,100.0,0.17
10,30566910,110.0,40.72365,-73.98643,2,1.0,1.0,t,0,,
11,32783365,158.0,40.72412,-73.98283,4,2.0,1.0,f,5,92.0,5.0
12,1182844,199.0,40.76636,-73.9855,2,1.0,1.0,t,30,91.0,0.54
13,1151782,275.0,40.76543,-73.98609,4,1.0,2.0,f,8,97.0,0.11
14,24223602,300.0,40.679990000000004,-73.96462,4,2.0,2.0,t,12,100.0,1.03
15,32281512,175.0,40.679590000000005,-73.96736,4,1.0,2.0,t,1,80.0,1.0
16,26518779,250.0,40.72607,-73.97851,2,1.0,1.0,t,1,100.0,0.12
17,30372287,140.0,40.6779,-73.96393,2,1.0,0.0,t,2,100.0,0.46
18,34331285,99.0,40.76785,-73.9831,2,1.0,1.0,t,0,,
19,30096719,98.0,40.6887,-73.96668000000001,2,1.0,0.0,f,23,95.0,4.11
20,33964494,200.0,40.765370000000004,-73.98498000000001,4,1.0,1.0,t,0,,
21,23955348,600.0,40.72574,-73.98272,6,2.0,3.0,t,66,89.0,4.91
22,28010779,250.0,40.744040000000005,-73.98263,4,1.0,1.0,f,5,95.0,0.65
23,30950765,390.0,40.74484,-73.98355,2,1.0,0.0,t,0,,
24,7202368,98.0,40.68651,-73.933,2,1.0,1.0,t,85,95.0,1.88
25,31460579,500.0,40.71975,-73.98275,6,2.0,2.0,f,5,100.0,2.08
26,31360128,105.0,40.72482,-73.98241999999999,2,1.0,0.0,t,3,80.0,0.97
27,16513698,349.0,40.72068,-73.98574,6,1.0,3.0,t,68,98.0,2.45
28,27368472,180.0,40.74272,-73.99599,2,1.0,0.0,f,0,,
29,17905479,200.0,40.74123,-73.99521999999999,3,1.0,1.0,t,39,97.0,1.56
30,29148367,165.0,40.71881,-73.99675,4,1.0,2.0,t,1,100.0,0.26
31,848071,100.0,40.71734,-73.99351999999999,2,1.0,1.0,t,37,95.0,0.48
32,34061588,135.0,40.71588,-73.99099,3,1.0,0.0,t,0,,
33,29277029,230.0,40.71751,-73.99849,3,1.0,1.0,t,7,100.0,1.09
34,17093271,155.0,40.715340000000005,-73.98901,5,1.0,2.0,t,61,86.0,2.25
35,32984848,199.0,40.71358,-73.99061999999999,4,1.0,2.0,t,3,100.0,1.91
36,20763209,145.0,40.71515,-73.99863,2,1.0,0.0,f,11,95.0,0.59
37,29148293,200.0,40.727109999999996,-73.98676999999999,2,1.0,0.0,t,2,100.0,0.3
38,31127921,299.0,40.72685,-73.9837,6,1.0,2.0,t,8,95.0,2.33
39,28958526,290.0,40.71717,-73.99815,5,1.0,2.0,t,20,89.0,2.82
40,26839759,350.0,40.73746,-74.00456,4,2.0,2.0,t,2,100.0,0.22
41,34306801,298.0,40.72995,-73.98453,2,1.0,1.0,t,0,,
42,17280847,250.0,40.71306,-73.98715,3,1.0,2.0,t,58,95.0,2.32
43,29988114,200.0,40.736779999999996,-74.00469,2,1.0,0.0,f,0,,
44,820218,121.0,40.73131,-73.98609,2,,1.0,t,6,100.0,0.09
45,6051782,150.0,40.73342,-73.98545,4,1.0,1.0,t,10,89.0,0.22
46,33228127,396.0,40.72687,-73.98416,8,1.0,3.0,f,7,94.0,7.0
47,24687603,350.0,40.76603,-73.98825,5,2.0,2.0,f,3,100.0,0.26
48,7679697,150.0,40.76377,-73.98786,4,1.0,1.0,t,47,97.0,1.07
49,23838400,165.0,40.7293,-73.98488,5,1.0,1.0,t,12,95.0,0.9
50,29424138,182.0,40.73531,-74.00303000000001,5,1.0,1.0,t,21,87.0,3.6
51,31382878,250.0,40.739340000000006,-74.00146,3,1.0,1.0,t,0,,
52,353317,129.0,40.71515,-73.99029,3,1.0,1.0,t,123,86.0,1.42
53,2791797,120.0,40.73571,-74.00375,3,1.0,0.0,t,56,91.0,0.91
54,25190223,390.0,40.76643,-73.99023000000001,5,1.0,2.0,t,61,94.0,5.35
55,23753738,300.0,40.76282,-73.99078,4,1.0,2.0,f,39,92.0,2.84
56,11569227,115.0,40.70024,-73.92055,2,1.0,1.0,t,28,98.0,0.8
57,30950818,50.0,40.68358,-73.91775,2,1.0,1.0,f,5,100.0,1.16
58,22656433,149.0,40.69305,-73.95599,6,1.0,2.0,t,86,92.0,5.43
59,18908083,137.0,40.69292,-73.9094,5,1.0,2.0,t,56,91.0,2.37
60,8206060,325.0,40.69352,-73.94376,5,1.0,2.0,t,7,97.0,0.17
61,15818608,400.0,40.74686,-73.97514,4,1.0,1.0,f,15,91.0,0.51
62,28186175,189.0,40.851490000000005,-73.93808,6,1.0,2.0,t,15,99.0,1.97
63,16364491,320.0,40.778079999999996,-73.94651,4,1.0,1.0,t,15,94.0,0.73
64,7024138,222.0,40.78402,-73.94974,5,1.0,2.0,t,86,90.0,2.08
65,34366003,415.0,40.75505,-73.96608,6,1.0,2.0,t,0,,
66,33032132,225.0,40.71092,-74.0177,2,1.0,1.0,f,0,,
67,2865117,155.0,40.66977,-73.98305,3,1.0,2.0,t,5,96.0,0.09
68,6836485,70.0,40.6412,-73.95302,4,1.0,0.0,t,146,95.0,3.42
69,25027222,117.0,40.78802,-73.96925999999999,2,1.0,1.0,t,0,,
70,31458781,165.0,40.66426,-73.99375,4,2.0,1.0,t,0,,
71,16071234,400.0,40.76201,-73.96070999999999,4,1.0,2.0,t,1,20.0,0.05
72,28167789,150.0,40.76951,-73.91651,2,1.5,1.0,t,1,80.0,0.21
73,31906094,68.0,40.73202,-73.95595,2,1.0,1.0,t,10,94.0,3.26
74,34013205,106.0,40.72602,-73.95848000000001,2,1.0,0.0,t,0,,
75,588677,250.0,40.70989,-73.95347,4,1.0,2.0,t,1,83.0,0.01
76,21485328,110.0,40.79567,-73.94538,2,1.0,0.0,t,15,91.0,0.85
77,1086884,123.0,40.706140000000005,-73.94414,4,1.0,2.0,t,88,96.0,1.2
78,26603881,300.0,40.802690000000005,-73.94686999999999,4,1.0,3.0,t,0,,
79,21596493,160.0,40.7957,-73.96736999999999,3,1.0,1.0,t,0,,
80,18007903,125.0,40.7121,-73.96281,2,1.0,1.0,t,3,100.0,0.26
81,9403937,175.0,40.79224,-73.97417,2,1.0,0.0,t,0,,
82,4606017,129.0,40.792840000000005,-73.97675,2,1.0,0.0,t,19,93.0,0.37
83,29129902,275.0,40.79566,-73.96954000000001,6,2.0,3.0,t,5,100.0,0.85
84,33834415,250.0,40.79465,-73.97332,5,1.0,1.0,t,0,,
85,17367228,225.0,40.794090000000004,-73.96884,4,1.0,2.0,t,5,95.0,0.22
86,21649172,225.0,40.79907,-73.96961999999999,1,1.0,1.0,t,4,100.0,0.25
87,9391609,191.0,40.79155,-73.97476999999999,3,1.0,1.0,t,0,,
88,14530298,250.0,40.79224,-73.97408,4,1.0,1.0,f,0,,
89,13654347,250.0,40.797740000000005,-73.97274,5,1.5,2.0,t,5,96.0,0.16
90,33157003,110.0,40.62636,-73.91824,6,1.0,2.0,t,1,100.0,1.0
91,27310782,140.0,40.67795,-73.98962,2,1.0,1.0,t,5,100.0,0.54
92,5318322,495.0,40.68095,-73.98901,10,1.5,3.0,t,90,85.0,1.92
93,6795231,125.0,40.68199,-73.98402,2,1.0,1.0,t,13,98.0,0.56
94,29946107,147.0,40.67948,-73.99531,2,1.0,1.0,f,10,100.0,1.85
95,17177726,185.0,40.683609999999994,-73.98671,4,1.0,2.0,t,9,98.0,0.54
96,14167380,160.0,40.73101,-73.9405,5,1.0,2.0,t,51,95.0,1.55
97,13341955,125.0,40.75274,-73.87777,4,1.0,0.0,t,85,97.0,2.51
98,32586373,120.0,40.71586,-73.9391,3,1.0,2.0,t,6,90.0,2.86
99,29984652,79.0,40.76859,-73.87548000000001,4,1.0,1.0,t,7,89.0,7.0
100,19359445,120.0,40.903909999999996,-73.85311999999999,2,1.0,0.0,f,27,99.0,1.24
101,3836199,120.0,40.76287,-73.88367,6,1.0,2.0,t,98,89.0,1.73
102,11138823,90.0,40.89694,-73.86055,3,1.0,1.0,t,189,96.0,5.03
103,15725732,116.0,40.63447,-74.02455,8,1.0,2.0,t,202,86.0,6.66
104,19160371,100.0,40.630559999999996,-74.02037,5,2.0,3.0,f,5,100.0,0.23
105,25138975,89.0,40.58794,-73.81579,6,1.0,2.0,t,27,90.0,2.53
106,22307800,59.0,40.58486,-73.99004000000001,2,1.0,1.0,t,37,99.0,2.34
107,2578731,140.0,40.584509999999995,-73.815,4,1.0,2.0,f,14,94.0,0.23
108,29905327,101.0,40.577290000000005,-73.98728,6,1.0,2.0,t,1,20.0,0.19
109,10993508,250.0,40.579409999999996,-73.94757,6,1.5,3.0,f,0,,
110,10262473,69.0,40.62296,-74.01483,3,1.0,1.0,f,32,97.0,0.85
111,32742096,184.0,40.72502,-73.98265,7,1.0,2.0,f,0,,
112,16001997,115.0,40.84688,-73.9419,4,1.0,1.0,t,2,90.0,0.18
113,33225054,60.0,40.70298,-73.74287,3,1.0,1.0,t,2,30.0,2.0
114,11147993,85.0,40.87556,-73.8584,3,1.0,1.0,f,136,99.0,3.81
115,253475,199.0,40.73794,-73.95254,4,1.0,1.0,t,56,96.0,0.64
116,28344687,164.0,40.75503,-73.93061,6,1.0,3.0,t,7,51.0,0.98
117,596448,129.0,40.69082,-73.99280999999999,2,1.0,1.0,t,105,95.0,1.5
118,19265835,135.0,40.80079,-73.95798,4,1.0,2.0,t,65,97.0,3.61
119,6813226,390.0,40.79866,-73.9681,7,2.0,2.0,t,11,93.0,0.24
120,24077042,325.0,40.79874,-73.95196999999999,6,1.0,2.0,t,43,93.0,3.69
121,14181211,120.0,40.77487,-73.91196,5,1.0,1.0,t,221,96.0,6.57
122,20047896,158.0,40.693940000000005,-73.96918000000001,4,1.0,1.0,t,83,100.0,3.95
123,6388315,120.0,40.77724,-73.97699,2,1.0,1.0,f,0,,
124,23452435,225.0,40.78494,-73.94988000000001,3,1.0,1.0,t,8,100.0,0.55
