,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,69681,170.0,37.77706906926253,-122.50923187258286,4,2.0,3,t,7,93.0,0.09
1,7856443,195.0,37.78227777410354,-122.49278426951248,6,2.5,3,t,40,99.0,1.73
2,70185,225.0,37.76629490097711,-122.4474438606795,2,1.0,1,t,29,97.0,0.35
3,18463004,299.0,37.77206317337525,-122.44325542878477,12,1.5,5,t,16,95.0,1.57
4,15339049,350.0,37.77182472776629,-122.43914679993395,3,1.0,1,t,33,98.0,1.85
5,15134083,349.0,37.771694914221065,-122.43899647768164,4,1.0,2,t,20,92.0,1.07
6,8164773,210.0,37.77015667883739,-122.44807493052906,4,1.0,1,t,16,95.0,0.54
7,13066418,159.0,37.7661720019665,-122.44565944343952,4,1.0,1,t,18,99.0,1.85
8,10058568,215.0,37.76719265642213,-122.44823796238623,4,2.0,2,t,4,100.0,0.17
9,2166428,198.0,37.76687570466795,-122.44645714286308,2,1.0,1,t,138,95.0,2.7
10,166771,185.0,37.76827235107756,-122.44678432093524,4,1.0,1,t,149,97.0,1.85
11,12814571,290.0,37.769943740877906,-122.45037797174669,5,1.0,2,t,0,,
12,7478631,145.0,37.76210544218736,-122.45201657617436,5,1.0,0,t,216,95.0,6.84
13,1480015,265.0,37.767850760479504,-122.44902333026828,4,1.0,1,t,111,99.0,2.12
14,18037180,500.0,37.77305879377953,-122.45278075565285,6,2.0,3,t,26,99.0,3.05
15,1208928,390.0,37.76918269528775,-122.44848870096943,8,2.0,4,t,66,93.0,1.16
16,4271413,160.0,37.770717608166116,-122.44813154040213,2,1.0,1,t,16,95.0,2.98
17,16416050,1000.0,37.77596145656689,-122.44295454300749,11,2.0,2,t,14,99.0,0.98
18,7666482,145.0,37.77367565661318,-122.44564087461659,5,2.0,2,t,4,67.0,0.12
19,7562249,195.0,37.77650254800609,-122.4394586608863,2,1.0,1,t,62,97.0,1.94
20,12917258,118.0,37.77096664878946,-122.44161991320831,6,1.0,1,t,26,91.0,1.17
21,10455187,200.0,37.77352017718617,-122.4433454733962,2,1.0,0,t,21,98.0,0.84
22,3757966,200.0,37.762234068363625,-122.44966534819278,2,1.0,1,t,29,99.0,0.65
23,126046,170.0,37.7681347587221,-122.44493597270329,5,1.0,3,t,79,97.0,0.99
24,1919372,175.0,37.77570008739193,-122.43847173013019,2,1.0,0,t,273,98.0,5.19
25,1768239,160.0,37.763572241533815,-122.44581171218334,2,1.0,1,t,37,99.0,0.68
26,19308750,275.0,37.76691510806368,-122.44461162814316,2,1.0,1,t,4,100.0,0.54
27,2816626,350.0,37.768358787399286,-122.44811666908116,6,2.0,3,t,6,100.0,0.13
28,783149,250.0,37.76712265543896,-122.44870752114801,2,1.0,1,t,136,97.0,2.23
29,2738331,99.0,37.769175742474744,-122.45000367362442,2,1.0,1,t,118,92.0,2.61
30,715754,160.0,37.76645818368998,-122.4432031000003,4,1.0,1,t,78,99.0,1.19
31,330535,189.0,37.768922881983386,-122.44614722135277,6,1.0,3,t,110,95.0,1.48
32,3133266,290.0,37.76875413915869,-122.44890171699488,8,1.5,3,t,57,98.0,1.24
33,3240016,140.0,37.76947241875028,-122.43770415302522,2,1.0,1,t,154,96.0,3.35
34,3479568,375.0,37.77021614374003,-122.44939109081172,7,1.5,2,t,12,98.0,0.57
35,19985392,450.0,37.77014147332605,-122.44521092828772,6,2.0,3,t,5,100.0,0.7
36,2559297,235.0,37.77506721737034,-122.44093915081335,4,1.0,2,t,30,85.0,0.62
37,9877717,185.0,37.774202296720674,-122.44889751174117,2,1.0,1,t,66,97.0,2.64
38,422720,169.0,37.77133117749775,-122.44710314549204,2,1.0,1,t,82,96.0,1.13
39,23466551,325.0,37.7728180344243,-122.43831019093322,3,1.0,1,t,0,,
40,4379621,211.0,37.77000006729074,-122.44813676834384,6,1.0,2,t,127,87.0,3.13
41,3565068,400.0,37.774131112713754,-122.44109073133879,5,1.0,3,t,26,97.0,0.58
42,10720392,175.0,37.77099070091528,-122.44796021966913,6,1.5,3,f,3,100.0,0.15
43,10802306,499.0,37.767060602844865,-122.44839159476496,4,1.0,2,t,7,100.0,0.29
44,18063783,399.0,37.76989238222697,-122.44286335772509,6,1.5,4,t,22,94.0,1.83
45,7302136,99.0,37.76515704945544,-122.44657635846563,3,1.0,1,t,11,100.0,0.34
46,4767720,195.0,37.77139189378345,-122.43981197435312,3,1.0,1,t,22,100.0,1.29
47,5286047,240.0,37.776120451607355,-122.44048032026959,2,1.0,1,t,41,98.0,1.09
48,20309567,250.0,37.76719884994654,-122.44952266813543,6,1.0,3,f,4,100.0,0.67
49,17233693,210.0,37.769771960680025,-122.4506117328883,5,1.0,3,t,14,100.0,1.01
50,8882531,230.0,37.77546165978882,-122.44904774270726,3,1.0,1,t,21,99.0,0.73
51,10043166,400.0,37.76482708818961,-122.45131405855948,6,2.0,3,t,12,97.0,0.46
52,269463,200.0,37.76710858506811,-122.4515121884875,2,1.0,1,t,101,94.0,1.3
53,9972077,150.0,37.761225011563475,-122.45095045684884,2,1.0,1,t,31,100.0,1.2
54,15468915,399.0,37.77180796074956,-122.44483891371814,9,1.0,4,t,1,60.0,0.07
55,6812179,450.0,37.76978381350102,-122.44489949831345,9,2.0,3,t,8,98.0,0.25
56,17977925,375.0,37.769538924935496,-122.44906626337958,6,1.0,3,f,33,99.0,2.75
57,2026910,550.0,37.77399814795163,-122.45309111208128,6,1.0,3,t,93,99.0,1.83
58,1053945,150.0,37.77060059098785,-122.45074461584915,2,1.0,1,t,158,92.0,2.65
59,671230,250.0,37.768810287836814,-122.44045884348853,2,1.0,1,t,15,96.0,0.22
60,5928915,169.0,37.728352758080575,-122.43471408930237,5,2.0,3,t,11,93.0,0.32
61,2594714,175.0,37.72666126989704,-122.43550983632284,5,2.0,3,t,2,90.0,0.07
62,14672091,199.0,37.71314295517481,-122.44600946945957,4,1.0,2,t,28,87.0,1.48
63,11525500,125.0,37.72997432667671,-122.44828043917366,2,1.0,0,t,60,97.0,2.39
64,2274353,137.0,37.726847463927534,-122.43739300623376,4,1.0,2,t,169,95.0,3.37
65,493889,195.0,37.72872001406447,-122.4405979965043,2,1.0,1,t,47,95.0,0.67
66,9261548,375.0,37.72770560206225,-122.44014941270315,5,2.0,3,t,13,98.0,0.47
67,8474183,134.0,37.722065368973155,-122.43773239194529,4,1.0,1,t,96,96.0,3.85
68,1510363,140.0,37.7285684876501,-122.45214928203586,4,1.0,2,t,198,99.0,3.65
69,4890931,135.0,37.73263041044189,-122.43492753754728,2,1.0,0,t,26,95.0,0.91
70,5821220,209.0,37.72661710928713,-122.43390800740576,6,3.0,4,t,9,91.0,0.33
71,5811756,209.0,37.72612886172427,-122.4353875012182,6,2.5,4,t,3,93.0,0.1
72,3221082,279.0,37.732733114157135,-122.43992030318078,8,2.0,3,t,54,95.0,1.19
73,7615490,250.0,37.734140368483565,-122.44397008224884,4,1.0,1,t,215,97.0,6.84
